ebit_margin_adjustment,growth_adj_-3.0%,growth_adj_-1.5%,growth_adj_0.0%,growth_adj_1.5%,growth_adj_3.0%
-0.015,106.34718466510743,113.4814929644187,120.98566519413228,128.87416093266802,137.16181386618268
-0.0075,119.7497366835465,127.76482217854578,136.1979418593876,145.0655587607304,154.38456542275645
0.0,133.1522887019856,142.0481513926729,151.410218524643,161.25695658879286,171.60731697933034
0.0075,146.55484072042466,156.33148060679997,166.62249518989833,177.4483544168553,188.83006853590408
0.015,159.95739273886375,170.614809820927,181.83477185515366,193.6397522449177,206.0528200924778
