year,revenue,revenue_growth,ebit_margin,ebit,tax_on_ebit,nopat,depreciation_amortization,capex,change_nwc,unlevered_fcf,discount_factor,pv_fcf
2025,67624.0,0.07,0.085,5748.04,1184.0962399999999,4563.94376,2163.968,3516.448,97.32799999999999,3114.13576,0.9216589861751152,2870.171207373272
2026,71681.44,0.06,0.086,6164.60384,1269.90839104,4894.695448959999,2222.12464,3584.072,81.14880000000005,3451.5992889599993,0.8494552867973413,2931.9792639130155
2027,75265.512,0.05,0.087,6548.099544,1348.9085060639998,5199.191037936,2257.96536,3688.0100880000005,64.513296,3704.6330139359993,0.7829080984307294,2900.387188324335
2028,78276.13248,0.04,0.088,6888.299658239999,1418.9897295974397,5469.3099286425595,2348.2839744,3757.25435904,51.180548159999965,4009.1589958425598,0.7215742842679533,2892.9060329415215
2029,81015.7971168,0.035,0.089,7210.405943395199,1485.3436243394108,5725.062319055788,2430.4739135039995,3888.7582616063996,46.57429882559988,4220.203672127788,0.6650454232884362,2806.6271374936377
