terminal_growth,wacc_7.5%,wacc_8.0%,wacc_8.5%,wacc_9.0%,wacc_9.5%
0.015,157.06102271401832,143.85940494426688,132.55113181338308,122.75737651339244,114.19402310563817
0.02,169.51508713684768,154.2036613228699,141.25532568011843,130.163545372348,120.55686567129845
0.025,184.4599644442428,166.42869158849157,151.410218524643,138.709124824989,127.82868574633868
0.03,202.7259255977257,181.09872790723765,163.41145552271746,148.67896751973691,136.2192473713852
0.035,225.5583770395794,199.0287722968161,177.81293992040688,160.46150888625712,146.00823593393937
