year,revenue,revenue_growth,ebit_margin,ebit,tax_on_ebit,nopat,depreciation_amortization,capex,change_nwc,unlevered_fcf,discount_factor,pv_fcf
2025,73312.0,0.16,0.095,6964.64,1434.71584,5529.9241600000005,2345.984,3592.288,192.128,4091.4921600000002,0.9216589861751152,3770.9605161290324
2026,82842.56,0.13,0.1,8284.256,1706.5567359999998,6577.699264,2568.1193599999997,3893.60032,162.01951999999997,5090.198784,0.8494552867973413,4323.896267918198
2027,91126.816,0.1,0.103,9386.062048,1933.528781888,7452.533266112,2733.8044800000002,4100.70672,124.26384000000013,5961.367186111999,0.7829080984307294,4667.202647726293
2028,98416.96128000002,0.08,0.105,10333.780934400002,2128.7588724864004,8205.022061913602,2952.5088384000005,4330.346296320001,102.06203392000016,6725.122570073601,0.7215742842679533,4852.675505115118
2029,104321.97895680003,0.06,0.107,11162.451748377604,2299.4650601657863,8862.986688211817,3129.659368704001,4590.167074099201,82.67024747520013,7319.808735341416,0.6650454232884362,4868.005298785524
