case,enterprise_value,equity_value,implied_share_price,pv_fcf,pv_terminal_value,terminal_value
Bear,62348.617762228765,57748.617762228765,106.35104560263125,14402.07083004578,47946.54693218298,72095.14606551638
Base,86815.74865888114,82215.74865888114,151.410218524643,19096.4184245618,67719.33023431934,101826.62396121603
Bull,105644.49742326021,101044.49742326021,186.08563061373889,22482.740235674166,83161.75718758604,125046.7325620825
